Druck[mbar], ΔDruck[mbar], Counts, mittl. Impulshöhe[V], Δmittl. Impulshöhe[V]
0.76,0.1,4205,75,1
200,10,4204,65,0.8
400,10,4183,53.6,1
500,10,4062,46,1
600,10,4095,39.2,0.8
700,10,4148,30.4,2
720,10,4164,28,2
740,10,4016,26.4,1
750,10,4023,25,1
760,10,4062,24,2
770,10,4028,23.5,1
780,10,4051,22.8,1
800,10,4037,21,1
840,10,4069,16.6,1
880,10,3878,11,1
900,10,2913,10,0.5
910,10,1166,8.5,1
920,10,294,7,0.5
930,10,39,6.5,0.5
940,10,1,5,0.5
1000,10,0,0,0.2
860,10,4053,15,2
890,10,3531,10,1
900,10,1736,9.5,1
